ISBN,title,author,genre,language,url,description
9781784872908.0,The Hound of the Baskervilles,Arthur Conan Doyle,Fiction,English,https://zangakbookstore.am/en/the-hound-of-the-baskervilles,"The Baskerville family curse tells of how a terrifying, supernatural hound roams the moors around Baskerville Hall and preys on members of the family in revenge for a ghastly crime committed by one of their ancestors. When Sir Charles Baskerville is found dead in the grounds, with a large animal footprint near his lifeless body, the locals are convinced that the hound is back. It is up to Sherlock Holmes and Dr Watson to uncover the truth and keep the new heir to the hall safe from danger."
9781784873189.0,The Handmaids Tale,Margaret Atwood,Fiction,English,https://zangakbookstore.am/en/handmaids-tale-1,"** THE SUNDAY TIMES NO. 1 BESTSELLER **
**A BBC BETWEEN COVERS BIG JUBILEE READ**

Go back to where it all began with the dystopian novel behind the award-winning TV series.

'As relevant today as it was when Atwood wrote it' Guardian

I believe in the resistance as I believe there can be no light without shadow; or rather, no shadow unless there is also light.

Offred is a Handmaid in The Republic of Gilead, a religious totalitarian state in what was formerly known as the United States. She is placed in the household of The Commander, Fred Waterford - her assigned name, Offred, means 'of Fred'. She has only one function: to breed. If Offred refuses to enter into sexual servitude to repopulate a devastated world, she will be hanged. Yet even a repressive state cannot eradicate hope and desire. As she recalls her pre-revolution life in flashbacks, Offred must navigate through the terrifying landscape of torture and persecution in the present day, and between two men upon which her future hangs.

Masterfully conceived and executed, this haunting vision of the future places Margaret Atwood at the forefront of dystopian fiction.

'A fantastic, chilling story. And so powerfully feminist', Bernardine Evaristo, author of Girl, Woman, Other."
9781784873752.0,Dr No,Ian Fleming,Fiction,English,https://zangakbookstore.am/en/dr-no-1,"Dr Julius No is a man with a mysterious past. Nobody knows what secrets are hidden on his Caribbean island, and all those who have attempted to investigate further have disappeared. 

When two British agents go missing in Jamaica, Bond is sent to investigate. Battling the Doctor's twin obsessions with power and pain, he uncovers the true nature of his opponent's covert operation - but he must undergo a deadly assault course before he can destroy the Doctor's plans once and for all."
9781784874001.0,Letters To Milena,Franz Kafka,Fiction,English,https://zangakbookstore.am/en/letters-to-milena-1,"'You are the knife I turn inside myself'

Franz Kafka's letters to his one-time muse, Milena Jesenska - an intimate window into the desires and hopes of the twentieth-century's most prophetic and important writer

Kafka first made the acquaintance of Milena Jesenska in 1920 when she was translating his early short prose into Czech. Their relationship quickly developed into a deep attachment. Such was his feeling for her that Kafka showed her his diaries and, in doing so, laid bare his heart and his conscience.

While at times Milena's 'genius for living' gave Kafka new life, it ultimately exhausted him, and their relationship was to last little over two years. In 1924 Kafka died in a sanatorium near Vienna, and Milena died in 1944 at the hands of the Nazis, leaving these letters as a moving record of their relationship."
9781784874049.0,Rave,Irvine Welsh,Fiction,English,https://zangakbookstore.am/en/rave-1,"Irvine Welsh, 'poet laureate of the chemical generation', exposes the seamy underbelly of rave's utopian dream. Lloyd, our permanently pilled-up protagonist, pushes his weekends to breaking point and beyond in this frazzled trip through Scottish clubland. He experiences the vertiginous uppers and downers of the Second Summer of Love, dabbles in a spot of disc jockeying and closes in, gradually, on some kind of redemption..."
9781784874056.0,Marriage,Jane Austen,Fiction,English,https://zangakbookstore.am/en/marriage-1,"Why do we set so much store by marriage? Jane Austen was fascinated by this question, subjecting it to her forensic eye and wonderfully ironic wit again and again. Here are stolen glances and nervous advances, meddling parents and self-important cousins, society whisperings and the fluttering hearts of young lovers. All of them have their own views and expectations of marriage, and Austen's are the wisest of all.

Selected from the novels Sense and Sensibility, Pride and Prejudice, Northanger Abbey and Persuasion by Jane Austen."
9781784874063.0,Family,Mark Haddon,Fiction,English,https://zangakbookstore.am/en/family-1,"Family, that slippery word, a star to every wandering bark and everyone sailing under a different sky'

Where do you go if you can't feel at home in your own family? When the people who made you can't fathom who you become? In these three tales of quarrelling clans and fraught reunions, Mark Haddon shows family in its frank, unsparing yet frequently absurd light, and, in doing so charts a stormy course into the crucible of the self.

Selected from The Pier Falls, The Red House and A Spot of Bother."
9781784874087.0,Injustice,Richard Wright,Fiction,English,https://zangakbookstore.am/en/injustice-1,"VINTAGE MINIS: GREAT MINDS. BIG IDEAS. LITTLE BOOKS.

How to go on in a world where everything is set against you? With hope? In fear? Or, in violent struggle? In this gripping and disturbing book, Richard Wright weaves his own childhood recollections with those of Bigger Thomas - a young black man trapped in a life of poverty in the slums of Chicago, and unwittingly involved in a wealthy woman's death - to paint a portrait of insurmountable oppression. Through the strange pride Bigger takes in his crime, Wright brings us to confront the systems of justice we blindly assume are always on our side.
Selected from the books Black Boy and Native Son by Richard Wright"
9781784874117.0,Freedom,Margaret Atwood,Fiction,English,https://zangakbookstore.am/en/freedom,"In this book of breathtaking imaginary leaps that conjure dystopias and magical islands, Margaret Atwood holds a mirror up to our own world. The reflection we are faced with, of men and women in prisons literal and metaphorical, is frightening, but it is also a call to arms to speak and to act to preserve our freedom while we still can. And in that, there is hope.

Selected from The Handmaid's Tale and Hag-Seed by Margaret Atwood."
9781784874483.0,Ghosts,Montague Rhodes James,Fiction,English,https://zangakbookstore.am/en/ghosts-1,"A high-pitched laugh echoes in an empty church. Servants discover their master dead in his bed, the only sign of disturbance an open window. The coffin of a woman hanged as a witch is found to be empty. A bed that hasn't been slept in is crumpled and distressed come the morning. A skeletal figure creeps closer and closer to the house where an unsuspecting family lie sleeping. In these chilling tales of the supernatural, M. R. James proves he truly is the master of the ghost story.

Selected from the book Ghost Stories by M.R. James

VINTAGE MINIS: GREAT MINDS. BIG IDEAS. LITTLE BOOKS.

A series of short books by the world's greatest writers on the experiences that make us human

Also in the Vintage Minis series:
Drinking by John Cheever
Summer by Laurie Lee
Friendship by Rose Tremain
Love by Jeanette Winterson"
9781784874490.0,War,Sebastian Faulks,Fiction,English,https://zangakbookstore.am/en/war,"A soldier falls asleep on duty and is threatened with being court-martialled. An officer lies in mud, fighting for his life and the life of his men. A young man walks across Waterloo Bridge, explosives in his rucksack, heart pounding. In this powerfully moving book, Faulks shows us the true face of war. These are stories of death and survival, of hope and despair, and of ordinary people whose lives will never be the same again.

Selected from the books Birdsong, A Possible Life and A Week in December by Sebastian Faulks

VINTAGE MINIS: GREAT MINDS. BIG IDEAS. LITTLE BOOKS.

A series of short books by the world's greatest writers on the experiences that make us human"
9781784874544.0,Mother Night,Kurt Vonnegut,Fiction,English,https://zangakbookstore.am/en/mother-night-1,"Whilst awaiting trial for war crimes in an Israeli prison, Howard W. Campbell Jr sets down his memoirs on an old German typewriter. He has used such a typewriter before, when he worked as a Nazi propagandist under Goebbels. Though that was before he agreed to become a spy for US military. Is Howard guilty? Can a black or white verdict ever be reached in a world that's a gazillion shades of grey?"
